Time,CognitiveLoadValue,StandardDeviation,DataState
09:43:14,0.2800538,0.1452143,0
09:43:15,0.2925452,0.1410351,0
09:43:16,0.2784204,0.1281966,0
09:43:17,0.2607289,0.1108286,0
09:43:18,0.2663109,0.1201686,0
09:43:19,0.3407534,0.1663607,0
09:43:20,0.5296329,0.1870715,0
09:43:21,0.5371913,0.1958495,0
09:43:22,0.3301115,0.1923642,0
09:43:23,0.3741477,0.1703031,0
09:43:24,0.3112794,0.1475732,0
09:43:25,0.2944843,0.1425558,0
09:43:26,0.2562018,0.1129987,0
09:43:27,0.2704857,0.1162626,0
09:43:28,0.2285761,0.08485736,0
09:43:29,0.2037444,0.07947052,0
09:43:30,0.1533212,0.07171115,0
09:43:31,0.1658941,0.07651958,0
09:43:32,0.1750692,0.0680721,0
09:43:33,0.2107288,0.07933028,0
09:43:34,0.2019222,0.0711491,0
09:43:35,0.2719225,0.07767773,0
09:43:36,0.2323313,0.06830701,0
09:43:37,0.2588487,0.07494985,0
09:43:38,0.3074706,0.104709,0
09:43:39,0.3084404,0.1083528,0
09:43:40,0.3282111,0.1165611,0
09:43:41,0.3135756,0.1173128,0
09:43:42,0.3206759,0.1295499,0
09:43:43,0.3186212,0.1160327,0
09:43:44,0.3154397,0.1914265,0
09:43:45,0.31717,0.1946995,0
09:43:46,0.3147766,0.2020999,0
09:43:47,0.3072355,0.195752,0
09:43:48,0.3017215,0.1929548,0
09:43:49,0.298144,0.1907574,0
09:43:50,0.2927894,0.1874624,0
09:43:51,0.2880091,0.1842408,0
09:43:52,0.3391321,0.2219352,0
09:43:53,0.3268709,0.2501787,0
09:43:54,0.3003667,0.2508071,0
09:43:55,0.3047815,0.2451369,0
09:43:56,0.2881876,0.1502742,0
09:43:57,0.289836,0.1609971,0
09:43:58,0.2937432,0.1602651,0
09:43:59,0.7506831,0.1676238,0
09:44:00,0.7083455,0.15791,0
09:44:01,0.7144878,0.1681998,0
09:44:02,0.7067702,0.1572988,0
09:44:03,0.7018598,0.1678274,0
09:44:04,0.7025264,0.1645584,0
09:44:05,0.7098692,0.1697859,0
09:44:06,0.7103993,0.1692727,0
09:44:07,0.7113793,0.1718427,0
09:44:08,0.7065516,0.1736198,0
09:44:09,0.5182443,0.1850536,0
09:44:10,0.496158,0.1826095,0
09:44:11,0.4952655,0.1894337,0
09:44:12,0.6906796,0.1935303,0
09:44:13,0.4865986,0.1914542,0
09:44:14,0.4856704,0.1880722,0
09:44:15,0.6826903,0.1878754,0
09:44:16,0.6894816,0.1988062,0
09:44:17,0.4746728,0.2027674,0
09:44:18,0.2386501,0.22204,0
09:44:19,0.684696,0.2132265,0
09:44:20,0.231995,0.2237367,0
09:44:21,0.2406155,0.2152681,0
09:44:22,0.2625145,0.2090607,0
09:44:23,0.6905746,0.2115256,0
09:44:24,0.6658541,0.2065341,0
09:44:25,0.6741675,0.1862403,0
09:44:26,0.491542,0.1851021,0
09:44:27,0.5019296,0.172727,0
09:44:28,0.5281557,0.1529677,0
09:44:29,0.5168238,0.154052,0
09:44:30,0.5243748,0.1486201,0
09:44:31,0.5411614,0.15388,0
09:44:32,0.533058,0.1519318,0
09:44:33,0.545899,0.154294,0
09:44:34,0.5365855,0.1514568,0
09:44:35,0.5432823,0.1518827,0
09:44:36,0.5485447,0.1453618,0
09:44:37,0.5600386,0.1397589,0
09:44:38,0.5587989,0.1427895,0
09:44:39,0.568544,0.140028,0
09:44:40,0.5703491,0.143612,0
09:44:41,0.5758306,0.1403785,0
09:44:42,0.5710512,0.1388432,0
09:44:43,0.7039249,0.1276438,0
09:44:44,0.7413849,0.1218857,0
09:44:45,0.5294292,0.1361131,0
09:44:46,0.5291315,0.1305884,0
09:44:47,0.5245396,0.1373228,0
09:44:48,0.7026043,0.1354724,0
09:44:49,0.477038,0.153379,0
09:44:50,0.6590643,0.1437063,0
09:44:51,0.6452969,0.1459055,0
09:44:52,0.6396832,0.150145,0
09:44:53,0.6318088,0.1527601,0
09:44:54,0.623711,0.160376,0
09:44:55,0.6212471,0.1651583,0
09:44:56,0.6241066,0.174297,0
09:44:57,0.6249513,0.1843121,0
09:44:58,0.6279929,0.1905446,0
09:44:59,0.6294607,0.2000593,0
09:45:00,0.6516812,0.2096523,0
09:45:01,0.4456041,0.2031394,0
09:45:02,0.4503233,0.2003107,0
09:45:03,0.4542311,0.1933499,0
09:45:04,0.4606265,0.1784301,0
09:45:05,0.4623585,0.1706166,0
09:45:06,0.4808965,0.1619555,0
09:45:07,0.4948384,0.1510485,0
